mapped_name,id,oscn_id,full_name,name
OTHER,389838,17477213,296375,arresting agency
OKLAHOMA ABLE COMMISSION,282544,17192052,ABLE,arresting agency
OKLAHOMA ABLE COMMISSION,327026,17639463,ABLE,arresting agency
OKLAHOMA ABLE COMMISSION,310241,17592338,ABLE COMMISSION,arresting agency
"BUREAU OF ALCOHOL, TOBACCO, FIREARMS AND EXPLOSIVES",279405,17636932,AFT,arresting agency
ARCADIA POLICE DEPARTMENT,433254,16952158,ARCADIA PD,arresting agency
ARCADIA POLICE DEPARTMENT,284554,16778714,ARCADIA PD,arresting agency
ARCADIA POLICE DEPARTMENT,353953,16004919,ARCADIA PD,arresting agency
"BUREAU OF ALCOHOL, TOBACCO, FIREARMS AND EXPLOSIVES",342083,17632869,ATF,arresting agency
"BUREAU OF ALCOHOL, TOBACCO, FIREARMS AND EXPLOSIVES",411474,17739747,ATF,arresting agency
"BUREAU OF ALCOHOL, TOBACCO, FIREARMS AND EXPLOSIVES",316607,17714705,ATF,arresting agency
"BUREAU OF ALCOHOL, TOBACCO, FIREARMS AND EXPLOSIVES",316608,17714720,ATF,arresting agency
"BUREAU OF ALCOHOL, TOBACCO, FIREARMS AND EXPLOSIVES",244533,17306488,ATF,arresting agency
"BUREAU OF ALCOHOL, TOBACCO, FIREARMS AND EXPLOSIVES",410247,17722482,ATF,arresting agency
OKLAHOMA ATTORNEY GENERAL,438205,17573648,ATTORNEY GENERAL,arresting agency
OKLAHOMA ATTORNEY GENERAL,274223,17612247,ATTORNEY GENERAL,arresting agency
OKLAHOMA ATTORNEY GENERAL,454445,16433836,ATTORNEY GENERAL,arresting agency
OKLAHOMA ATTORNEY GENERAL,324356,17747540,ATTORNEY GENERAL,arresting agency
OKLAHOMA ATTORNEY GENERAL,316818,17098215,ATTORNEY GENERAL,arresting agency
OKLAHOMA ATTORNEY GENERAL,277956,17171348,ATTORNEY GENERAL,arresting agency
OKLAHOMA ATTORNEY GENERAL,395882,17098244,ATTORNEY GENERAL,arresting agency
OKLAHOMA ATTORNEY GENERAL,410035,17718511,ATTORNEY GENERAL,arresting agency
OKLAHOMA ATTORNEY GENERAL,411603,17744597,ATTORNEY GENERAL,arresting agency
OKLAHOMA ATTORNEY GENERAL,257320,17581584,ATTORNEY GENERAL,arresting agency
OKLAHOMA ATTORNEY GENERAL,336348,17561238,ATTORNEY GENERAL,arresting agency
OKLAHOMA ATTORNEY GENERAL,251650,16481386,ATTORNEY GENERAL'S OFFICE,arresting agency
OKLAHOMA ATTORNEY GENERAL,320160,17729554,ATTY GENERAL,arresting agency
OKLAHOMA ATTORNEY GENERAL,242973,17737620,ATTY GENERAL,arresting agency
OKLAHOMA ABLE COMMISSION,230098,71169,Able Commission,arresting agency
BETHANY POLICE DEPARTMENT,356781,16176508,BETHANY  PD,arresting agency
BETHANY POLICE DEPARTMENT,231706,16438876,BETHANY P0,arresting agency
BETHANY POLICE DEPARTMENT,251917,17039947,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,293627,16626007,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,383033,16967399,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,373151,16472654,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,246207,16538677,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,414754,16463400,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,398000,17571884,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,370671,16434123,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,378507,16888583,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,398036,17571817,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,258810,17585990,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,449517,16599335,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,318224,17721514,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,395944,17546088,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,408850,17700226,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,310877,17690899,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,304961,17673729,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,374557,16890042,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,304957,17673683,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,395943,17545973,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,237799,17673595,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,294942,17403345,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,403761,16778667,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,415892,16928334,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,287320,17662006,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,370609,16436198,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,411625,17395244,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,252716,17625574,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,392524,16658532,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,392594,16509644,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,273503,16921635,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,245964,17471170,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,285388,17656374,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,437062,16554752,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,232298,17464272,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,234581,17723450,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,236639,17405310,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,370426,16429435,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,392641,16658951,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,241571,15925988,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,433523,16945131,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,234657,16477450,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,244527,17305687,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,280952,17185766,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,407534,17679569,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,303608,16682552,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,407503,17680601,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,286091,17075024,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,272021,16448012,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,332498,15920212,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,325454,17751831,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,257657,16716956,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,381809,16952488,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,429823,16720324,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,278841,17635729,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,305975,17681265,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,436024,16828772,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,239803,15926800,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,251796,16536384,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,446371,17571921,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,255712,17052816,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,413524,17773957,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,259578,17590673,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,380912,16944766,BETHANY PD,arresting agency
