id,date,parsed_on,updated_at
1,2020-02-25,2020-02-25 22:19:08.7470000 +00:00,2020-02-25 22:19:08.7470000 +00:00
2,2020-02-24,2020-02-25 22:19:08.7480000 +00:00,2020-02-25 22:19:08.7480000 +00:00
3,2020-02-23,2020-02-25 22:19:08.7480000 +00:00,2020-02-25 22:19:08.7480000 +00:00
4,2020-02-22,2020-02-25 22:19:08.7490000 +00:00,2020-02-25 22:19:08.7490000 +00:00
5,2020-02-21,2020-02-25 22:19:08.7490000 +00:00,2020-02-25 22:19:08.7490000 +00:00
6,2020-02-20,2020-02-25 22:19:08.7490000 +00:00,2020-02-25 22:19:08.7490000 +00:00
7,2020-02-19,2020-02-25 22:19:08.7500000 +00:00,2020-02-25 22:19:08.7500000 +00:00
8,2020-02-18,2020-02-25 22:19:08.7500000 +00:00,2020-02-25 22:19:08.7500000 +00:00
9,2020-02-17,2020-02-25 22:19:08.7500000 +00:00,2020-02-25 22:19:08.7500000 +00:00
10,2020-02-16,2020-02-25 22:19:08.7510000 +00:00,2020-02-25 22:19:08.7510000 +00:00
11,2020-02-15,2020-02-25 22:19:08.7510000 +00:00,2020-02-25 22:19:08.7510000 +00:00
12,2020-02-14,2020-02-25 22:19:08.7510000 +00:00,2020-02-25 22:19:08.7510000 +00:00
13,2020-02-13,2020-02-25 22:19:08.7510000 +00:00,2020-02-25 22:19:08.7510000 +00:00
14,2020-02-12,2020-02-25 22:19:08.7510000 +00:00,2020-02-25 22:19:08.7510000 +00:00
15,2020-02-11,2020-02-25 22:19:08.7520000 +00:00,2020-02-25 22:19:08.7520000 +00:00
16,2020-02-10,2020-02-25 22:19:08.7520000 +00:00,2020-02-25 22:19:08.7520000 +00:00
17,2020-02-09,2020-02-25 22:19:08.7520000 +00:00,2020-02-25 22:19:08.7520000 +00:00
18,2020-02-08,2020-02-25 22:19:08.7520000 +00:00,2020-02-25 22:19:08.7520000 +00:00
19,2020-02-07,2020-02-25 22:19:08.7520000 +00:00,2020-02-25 22:19:08.7520000 +00:00
20,2020-02-06,2020-02-25 22:19:08.7530000 +00:00,2020-02-25 22:19:08.7530000 +00:00
21,2020-02-05,2020-02-25 22:19:08.7530000 +00:00,2020-02-25 22:19:08.7530000 +00:00
22,2020-02-04,2020-02-25 22:19:08.7530000 +00:00,2020-02-25 22:19:08.7530000 +00:00
23,2020-02-03,2020-02-25 22:19:08.7530000 +00:00,2020-02-25 22:19:08.7530000 +00:00
24,2020-02-02,2020-02-25 22:19:08.7530000 +00:00,2020-02-25 22:19:08.7530000 +00:00
25,2020-02-01,2020-02-25 22:19:08.7540000 +00:00,2020-02-25 22:19:08.7540000 +00:00
26,2020-01-31,2020-02-25 22:19:08.7540000 +00:00,2020-02-25 22:19:08.7540000 +00:00
27,2020-01-30,2020-02-25 22:19:08.7540000 +00:00,2020-02-25 22:19:08.7540000 +00:00
28,2020-01-29,2020-02-25 22:19:08.7540000 +00:00,2020-02-25 22:19:08.7540000 +00:00
29,2020-01-28,2020-02-25 22:19:08.7540000 +00:00,2020-02-25 22:19:08.7540000 +00:00
30,2020-01-27,2020-02-25 22:19:08.7540000 +00:00,2020-02-25 22:19:08.7540000 +00:00
31,2020-02-26,2020-02-26 14:35:44.7220000 +00:00,2020-02-26 14:35:44.7220000 +00:00
32,2020-02-27,2020-02-27 14:00:02.9900000 +00:00,2020-02-27 14:00:02.9900000 +00:00
33,2020-02-28,2020-02-28 14:00:02.8360000 +00:00,2020-02-28 14:00:02.8360000 +00:00
34,2020-03-02,2020-03-02 14:00:05.3160000 +00:00,2020-03-02 14:00:05.3160000 +00:00
35,2020-03-01,2020-03-02 14:00:05.3190000 +00:00,2020-03-02 14:00:05.3190000 +00:00
36,2020-02-29,2020-03-02 14:00:05.3190000 +00:00,2020-03-02 14:00:05.3190000 +00:00
37,2020-03-03,2020-03-03 13:00:01.9270000 +00:00,2020-03-03 13:00:01.9270000 +00:00
38,2020-03-04,2020-03-04 14:00:02.2150000 +00:00,2020-03-04 14:00:02.2150000 +00:00
39,2020-03-05,2020-03-05 14:00:02.0450000 +00:00,2020-03-05 14:00:02.0450000 +00:00
40,2020-03-06,2020-03-06 14:00:03.5420000 +00:00,2020-03-06 14:00:03.5420000 +00:00
41,2020-03-09,2020-03-09 13:00:05.3410000 +00:00,2020-03-09 13:00:05.3410000 +00:00
42,2020-03-08,2020-03-09 13:00:05.3420000 +00:00,2020-03-09 13:00:05.3420000 +00:00
43,2020-03-07,2020-03-09 13:00:05.3420000 +00:00,2020-03-09 13:00:05.3420000 +00:00
44,2020-03-10,2020-03-10 13:00:01.8060000 +00:00,2020-03-10 13:00:01.8060000 +00:00
45,2020-03-11,2020-03-11 13:00:01.7160000 +00:00,2020-03-11 13:00:01.7160000 +00:00
46,2020-03-12,2020-03-12 13:00:02.0530000 +00:00,2020-03-12 13:00:02.0530000 +00:00
47,2020-04-08,2020-04-08 15:23:35.2480000 +00:00,2020-04-08 15:23:35.2480000 +00:00
48,2020-04-07,2020-04-08 15:23:35.2500000 +00:00,2020-04-08 15:23:35.2500000 +00:00
49,2020-04-06,2020-04-08 15:23:35.2500000 +00:00,2020-04-08 15:23:35.2500000 +00:00
50,2020-04-05,2020-04-08 15:23:35.2500000 +00:00,2020-04-08 15:23:35.2500000 +00:00
51,2020-04-04,2020-04-08 15:23:35.2510000 +00:00,2020-04-08 15:23:35.2510000 +00:00
52,2020-04-03,2020-04-08 15:23:35.2510000 +00:00,2020-04-08 15:23:35.2510000 +00:00
53,2020-04-02,2020-04-08 15:23:35.2520000 +00:00,2020-04-08 15:23:35.2520000 +00:00
54,2020-04-01,2020-04-08 15:23:35.2520000 +00:00,2020-04-08 15:23:35.2520000 +00:00
55,2020-03-31,2020-04-08 15:23:35.2520000 +00:00,2020-04-08 15:23:35.2520000 +00:00
56,2020-03-30,2020-04-08 15:23:35.2520000 +00:00,2020-04-08 15:23:35.2520000 +00:00
57,2020-03-29,2020-04-08 15:23:35.2530000 +00:00,2020-04-08 15:23:35.2530000 +00:00
58,2020-03-28,2020-04-08 15:23:35.2530000 +00:00,2020-04-08 15:23:35.2530000 +00:00
59,2020-03-27,2020-04-08 15:23:35.2530000 +00:00,2020-04-08 15:23:35.2530000 +00:00
60,2020-03-26,2020-04-08 15:23:35.2530000 +00:00,2020-04-08 15:23:35.2530000 +00:00
61,2020-03-25,2020-04-08 15:23:35.2540000 +00:00,2020-04-08 15:23:35.2540000 +00:00
62,2020-03-24,2020-04-08 15:23:35.2540000 +00:00,2020-04-08 15:23:35.2540000 +00:00
63,2020-03-23,2020-04-08 15:23:35.2550000 +00:00,2020-04-08 15:23:35.2550000 +00:00
64,2020-03-22,2020-04-08 15:23:35.2560000 +00:00,2020-04-08 15:23:35.2560000 +00:00
65,2020-03-21,2020-04-08 15:23:35.2560000 +00:00,2020-04-08 15:23:35.2560000 +00:00
66,2020-03-20,2020-04-08 15:23:35.2560000 +00:00,2020-04-08 15:23:35.2560000 +00:00
67,2020-03-19,2020-04-08 15:23:35.2560000 +00:00,2020-04-08 15:23:35.2560000 +00:00
68,2020-03-18,2020-04-08 15:23:35.2570000 +00:00,2020-04-08 15:23:35.2570000 +00:00
69,2020-03-17,2020-04-08 15:23:35.2570000 +00:00,2020-04-08 15:23:35.2570000 +00:00
70,2020-03-16,2020-04-08 15:23:35.2570000 +00:00,2020-04-08 15:23:35.2570000 +00:00
71,2020-03-15,2020-04-08 15:23:35.2570000 +00:00,2020-04-08 15:23:35.2570000 +00:00
72,2020-03-14,2020-04-08 15:23:35.2570000 +00:00,2020-04-08 15:23:35.2570000 +00:00
73,2020-03-13,2020-04-08 15:23:35.2580000 +00:00,2020-04-08 15:23:35.2580000 +00:00
74,2020-04-09,2020-04-09 13:00:02.4900000 +00:00,2020-04-09 13:00:02.4900000 +00:00
75,2020-04-10,2020-04-10 12:00:02.7180000 +00:00,2020-04-10 12:00:02.7180000 +00:00
76,2020-04-13,2020-04-13 13:00:05.4550000 +00:00,2020-04-13 13:00:05.4550000 +00:00
77,2020-04-12,2020-04-13 13:00:05.4560000 +00:00,2020-04-13 13:00:05.4560000 +00:00
78,2020-04-11,2020-04-13 13:00:05.4560000 +00:00,2020-04-13 13:00:05.4560000 +00:00
79,2020-04-14,2020-04-14 12:00:02.3670000 +00:00,2020-04-14 12:00:02.3670000 +00:00
80,2020-04-15,2020-04-15 13:00:03.3780000 +00:00,2020-04-15 13:00:03.3780000 +00:00
81,2020-04-16,2020-04-16 12:00:05.9230000 +00:00,2020-04-16 12:00:05.9230000 +00:00
82,2020-04-17,2020-04-17 12:00:02.4550000 +00:00,2020-04-17 12:00:02.4550000 +00:00
83,2020-04-20,2020-04-20 12:00:06.0410000 +00:00,2020-04-20 12:00:06.0410000 +00:00
84,2020-04-19,2020-04-20 12:00:06.0410000 +00:00,2020-04-20 12:00:06.0410000 +00:00
85,2020-04-18,2020-04-20 12:00:06.0420000 +00:00,2020-04-20 12:00:06.0420000 +00:00
