"reference_number","audit_date","table_id","field_id","previous_value","current_value","action","audit_comment"
1900261251,06/16/2003,28,180,18,1,ADD,
3512010000,06/16/2003,33,211, ,3512010000 - DOMESTIC LIMITED LIABILITY COMPANY - ARTICLES OF ORGANIZATION - 06/16/2003,ADD,
3500711078,06/16/2003,33,211, ,3500711078 - DOMESTIC LIMITED LIABILITY COMPANY - ARTICLES OF AMENDMENT - 06/11/2003,ADD,
2313092490,03/22/2024,28,180,18,1,ADD,
3513609229,03/15/2024,"","",3513609229, ,DELETE,
3513609229,03/15/2024,"","","YFAC, LLC", ,DELETE,
3513600582,04/04/2024,"","", ,DELETED,DELETE,NOT A CONVERSION; FILED BY JJ
3813621261,04/04/2024,"","",3813621261, ,DELETE,
3813621261,04/04/2024,"","","DREAMING TREE TMS, PLLC", ,DELETE,
3713625927,04/09/2024,28,184,"MONEY GROUP INC, LLC","MONEY GROUP INS, LLC",EDIT,
3513619382,04/09/2024,"","",3513619382, ,DELETE,
3513619382,04/09/2024,"","","J & M CATTLE COMPANY, LLC", ,DELETE,
3713611458,03/22/2024,28,194, ,KY,EDIT,
2300700382,03/29/2024,"","", ,DELETED,DELETE,SUSPENDED IN ERROR - OTC 12/15/2020
3513645722,05/02/2024,28,184,NAILED IT 63 LLC,NAILD IT 63 LLC,EDIT,
3512959962,03/27/2024,"","", ,DELETED,DELETE,FILING ERROR JW
